layer,index,active_frequency,mean_activation,max_activation,outgoing_abs_sum,activation_score
H1,0,0.7033559396193393,0.10069537907838821,0.581741452217102,31.89214324951172,3.2113914489746094
H1,1,0.9954758258586742,0.3025454580783844,0.9485779404640198,14.533883094787598,4.397160530090332
H1,2,0.2807788230146576,0.08316614478826523,0.54781174659729,58.985130310058594,4.9055657386779785
H1,3,0.4023539706847517,0.04056311026215553,1.2341666221618652,35.79989242553711,1.4521549940109253
H1,4,0.6534150076569678,0.16897177696228027,1.553424596786499,41.20513916015625,6.96250581741333
H1,5,0.9765915554583242,0.33016085624694824,1.060051441192627,21.22499656677246,7.007663249969482
H1,6,0.4112535550207832,0.05234355479478836,1.0122324228286743,31.83526039123535,1.6663707494735718
H1,7,0.4421352001750164,0.08390435576438904,0.7929978370666504,32.07756805419922,2.6914477348327637
H1,8,0.005985561146357471,0.0004745490150526166,0.5480530261993408,110.14867401123047,0.05227094516158104
H1,9,0.10556989717786043,0.011756425723433495,0.9459303021430969,82.48860168457031,0.969771146774292
H1,10,0.6072806825639904,0.0942055806517601,0.592461109161377,31.902620315551758,3.0054049491882324
H1,11,0.7712535550207832,0.11846337467432022,1.5239473581314087,31.593334197998047,3.7426528930664062
H1,12,0.5877926055567709,0.08185522258281708,0.7415485382080078,42.83995056152344,3.506673574447632
H1,13,0.32124261649529645,0.06876569986343384,0.6614215970039368,28.746826171875,1.9767956733703613
H1,14,0.667241303872238,0.1446392983198166,1.0469833612442017,21.989194869995117,3.180501699447632
H1,15,0.649547145044848,0.17677022516727448,2.0418906211853027,24.035829544067383,4.248818874359131
H1,16,0.4094858893021221,0.029605219140648842,1.3306081295013428,54.982582092285156,1.6277713775634766
H1,17,0.32840953839422443,0.11756689101457596,2.3862252235412598,16.934093475341797,1.9908887147903442
H1,18,0.026322467731349813,0.0017256635474041104,0.4893408715724945,49.665489196777344,0.08570592105388641
H1,19,0.1877488514548239,0.03162015974521637,0.7682605981826782,54.342926025390625,1.718332052230835
H1,20,0.05142857142857143,0.00690182950347662,0.575606644153595,61.58979797363281,0.4250822961330414
H1,21,0.44854080070006563,0.04938643425703049,1.2054896354675293,38.459144592285156,1.8993600606918335
H1,22,0.7158696127761978,0.08153025060892105,0.70684415102005,22.027074813842773,1.7958729267120361
H1,23,0.6330518486108072,0.06540083885192871,0.730208694934845,33.306148529052734,2.1782500743865967
H1,24,1.0,0.2845991253852844,0.6676760315895081,7.314615726470947,2.081733226776123
H1,25,0.6088120761321374,0.0725899189710617,0.4903165400028229,42.7116813659668,3.1004374027252197
H1,26,0.758914898271713,0.31619393825531006,1.481000304222107,20.946937561035156,6.623294830322266
H1,27,0.11392693064974842,0.010488714091479778,0.538184404373169,117.5837173461914,1.2333019971847534
H1,28,0.9977335375191424,0.39115890860557556,1.1540493965148926,8.270343780517578,3.235018730163574
H1,29,0.7055786479982499,0.1586671769618988,0.8861604928970337,19.99832534790039,3.1730778217315674
H1,30,0.7406781885801794,0.11238740384578705,0.46354466676712036,18.889278411865234,2.1229169368743896
